Date,Address,Price,PriceType,attr,Href,Pic_url
2021-06-01,"6414 High Point Dr SW,Seattle, WA 98126",1925000,cv,"{""Townhouse"": ""Townhouse"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Title type"": ""Unit Title"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439329/residential/sale/52-richards-avenue-forrest-hill,"https://mediaserver.realestate.co.nz/listings/42439329/2f89ef17186c050fb407bf724901362a.crop.10x8.jpg?options=compress,blur"
2023-10-11T16:37:08,"11068 Occidental Ave S,Seattle, WA 98168",2800000,current,"{""Townhouse"": ""Townhouse"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Title type"": ""Unit Title"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439329/residential/sale/52-richards-avenue-forrest-hill,"https://mediaserver.realestate.co.nz/listings/42439329/2f89ef17186c050fb407bf724901362a.crop.10x8.jpg?options=compress,blur"
2016-06-30,"831 SW 96th Pl,Seattle, WA 98106",550000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Title type"": ""Cross Lease"", ""Garage"": ""1""}",https://www.realestate.co.nz/42439455/residential/sale/3-blair-avenue-pukekohe,"https://mediaserver.realestate.co.nz/listings/42439455/abf81204775540c641d6016c0c8b0b7f.crop.10x8.jpg?options=compress,blur"
2009-07-03,"831 SW 96th Pl,Seattle, WA 98106",335000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Title type"": ""Cross Lease"", ""Garage"": ""1""}",https://www.realestate.co.nz/42439455/residential/sale/3-blair-avenue-pukekohe,"https://mediaserver.realestate.co.nz/listings/42439455/abf81204775540c641d6016c0c8b0b7f.crop.10x8.jpg?options=compress,blur"
2000-06-30,"831 SW 96th Pl,Seattle, WA 98106",183670,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Title type"": ""Cross Lease"", ""Garage"": ""1""}",https://www.realestate.co.nz/42439455/residential/sale/3-blair-avenue-pukekohe,"https://mediaserver.realestate.co.nz/listings/42439455/abf81204775540c641d6016c0c8b0b7f.crop.10x8.jpg?options=compress,blur"
2021-06-01,"831 SW 96th Pl,Seattle, WA 98106",720000,cv,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Title type"": ""Cross Lease"", ""Garage"": ""1""}",https://www.realestate.co.nz/42439455/residential/sale/3-blair-avenue-pukekohe,"https://mediaserver.realestate.co.nz/listings/42439455/abf81204775540c641d6016c0c8b0b7f.crop.10x8.jpg?options=compress,blur"
2023-10-11T14:08:51,"7733 26th Ave SW,Seattle, WA 98106",800000,current,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Title type"": ""Cross Lease"", ""Garage"": ""1""}",https://www.realestate.co.nz/42439455/residential/sale/3-blair-avenue-pukekohe,"https://mediaserver.realestate.co.nz/listings/42439455/abf81204775540c641d6016c0c8b0b7f.crop.10x8.jpg?options=compress,blur"
2018-02-06,"10457 Des Moines Memorial Dr S Unit 402-W,Burien, WA 98168",2450000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""2"", ""Floor area"": ""290m"", ""Land area"": ""809m"", ""Title type"": ""Freehold""}",https://www.realestate.co.nz/42435504/residential/sale/63-seacliffe-avenue-belmont,"https://mediaserver.realestate.co.nz/listings/42435504/07176309af9b45fab8cd89f76d584265.crop.10x8.jpg?options=compress,blur"
2016-05-31,"10457 Des Moines Memorial Dr S Unit 402-W,Burien, WA 98168",2250000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""2"", ""Floor area"": ""290m"", ""Land area"": ""809m"", ""Title type"": ""Freehold""}",https://www.realestate.co.nz/42435504/residential/sale/63-seacliffe-avenue-belmont,"https://mediaserver.realestate.co.nz/listings/42435504/07176309af9b45fab8cd89f76d584265.crop.10x8.jpg?options=compress,blur"
2013-05-10,"10457 Des Moines Memorial Dr S Unit 402-W,Burien, WA 98168",1400000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""2"", ""Floor area"": ""290m"", ""Land area"": ""809m"", ""Title type"": ""Freehold""}",https://www.realestate.co.nz/42435504/residential/sale/63-seacliffe-avenue-belmont,"https://mediaserver.realestate.co.nz/listings/42435504/07176309af9b45fab8cd89f76d584265.crop.10x8.jpg?options=compress,blur"
2012-12-16,"10457 Des Moines Memorial Dr S Unit 402-W,Burien, WA 98168",1170000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""2"", ""Floor area"": ""290m"", ""Land area"": ""809m"", ""Title type"": ""Freehold""}",https://www.realestate.co.nz/42435504/residential/sale/63-seacliffe-avenue-belmont,"https://mediaserver.realestate.co.nz/listings/42435504/07176309af9b45fab8cd89f76d584265.crop.10x8.jpg?options=compress,blur"
