Date,Address,Price,PriceType,attr,Href,Pic_url
2000-05-31,"1 Grove Road, Devonport, North Shore City",820000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""4"", ""Land area"": ""1012m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42435126/residential/sale/1-grove-road-devonport,"https://mediaserver.realestate.co.nz/listings/42435126/3fd1119b0a7d467eb42e62ed781910e2.crop.10x8.jpg?options=compress,blur"
1993-11-22,"1 Grove Road, Devonport, North Shore City",602000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""4"", ""Land area"": ""1012m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42435126/residential/sale/1-grove-road-devonport,"https://mediaserver.realestate.co.nz/listings/42435126/3fd1119b0a7d467eb42e62ed781910e2.crop.10x8.jpg?options=compress,blur"
2021-06-01,"1 Grove Road, Devonport, North Shore City",3850000,cv,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""4"", ""Land area"": ""1012m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42435126/residential/sale/1-grove-road-devonport,"https://mediaserver.realestate.co.nz/listings/42435126/3fd1119b0a7d467eb42e62ed781910e2.crop.10x8.jpg?options=compress,blur"
2023-10-04T14:07:11,"1 Grove Road, Devonport, North Shore City",3500000,current,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""4"", ""Land area"": ""1012m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42435126/residential/sale/1-grove-road-devonport,"https://mediaserver.realestate.co.nz/listings/42435126/3fd1119b0a7d467eb42e62ed781910e2.crop.10x8.jpg?options=compress,blur"
2020-10-01,"670 Findlay Road, Miranda, Franklin",1890000,cv,"{""Section"": ""Lifestyle section"", ""Bedroom"": ""6"", ""Bathroom"": ""2"", ""Land area"": ""4.42ha"", ""Title type"": ""Freehold"", ""Garage"": ""5""}",https://www.realestate.co.nz/42435781/rural/sale/670-findlay-road-miranda,"https://mediaserver.realestate.co.nz/listings/42435781/066ebf6331667336e4c838f1e3759deb.crop.10x8.jpg?options=compress,blur"
2023-10-05T11:28:05,"670 Findlay Road, Miranda, Franklin",2550000,current,"{""Section"": ""Lifestyle section"", ""Bedroom"": ""6"", ""Bathroom"": ""2"", ""Land area"": ""4.42ha"", ""Title type"": ""Freehold"", ""Garage"": ""5""}",https://www.realestate.co.nz/42435781/rural/sale/670-findlay-road-miranda,"https://mediaserver.realestate.co.nz/listings/42435781/066ebf6331667336e4c838f1e3759deb.crop.10x8.jpg?options=compress,blur"
2019-06-20,"11 View Road, Papakura, Papakura",618000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""400m"", ""Garage"": ""1""}",https://www.realestate.co.nz/42434853/residential/sale/11-view-road-papakura,"https://mediaserver.realestate.co.nz/listings/42434853/012eab8c7b5cbfc1416fb4e8864e0716.crop.10x8.jpg?options=compress,blur"
2016-04-15,"11 View Road, Papakura, Papakura",505000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""400m"", ""Garage"": ""1""}",https://www.realestate.co.nz/42434853/residential/sale/11-view-road-papakura,"https://mediaserver.realestate.co.nz/listings/42434853/012eab8c7b5cbfc1416fb4e8864e0716.crop.10x8.jpg?options=compress,blur"
1996-07-31,"11 View Road, Papakura, Papakura",167000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""400m"", ""Garage"": ""1""}",https://www.realestate.co.nz/42434853/residential/sale/11-view-road-papakura,"https://mediaserver.realestate.co.nz/listings/42434853/012eab8c7b5cbfc1416fb4e8864e0716.crop.10x8.jpg?options=compress,blur"
1993-12-07,"11 View Road, Papakura, Papakura",116000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""400m"", ""Garage"": ""1""}",https://www.realestate.co.nz/42434853/residential/sale/11-view-road-papakura,"https://mediaserver.realestate.co.nz/listings/42434853/012eab8c7b5cbfc1416fb4e8864e0716.crop.10x8.jpg?options=compress,blur"
2021-06-01,"11 View Road, Papakura, Papakura",810000,cv,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""400m"", ""Garage"": ""1""}",https://www.realestate.co.nz/42434853/residential/sale/11-view-road-papakura,"https://mediaserver.realestate.co.nz/listings/42434853/012eab8c7b5cbfc1416fb4e8864e0716.crop.10x8.jpg?options=compress,blur"
2023-10-04T11:11:07,"11 View Road, Papakura, Papakura",700000,current,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""400m"", ""Garage"": ""1""}",https://www.realestate.co.nz/42434853/residential/sale/11-view-road-papakura,"https://mediaserver.realestate.co.nz/listings/42434853/012eab8c7b5cbfc1416fb4e8864e0716.crop.10x8.jpg?options=compress,blur"
2021-06-01,"11 Warren Avenue, Three Kings, Auckland City",1375000,cv,"{""House"": ""House"", ""Bedroom"": ""4"", ""Bathroom"": ""3"", ""Floor area"": ""225m"", ""Garage"": ""2""}",https://www.realestate.co.nz/42432116/residential/sale/11-warren-avenue-three-kings,"https://mediaserver.realestate.co.nz/listings/42432116/7cba4105a931c2558dad3a7b3218ce97.crop.10x8.jpg?options=compress,blur"
