Date,Address,Price,PriceType,attr,Href,Pic_url,House,Floor area,Bedroom,Title type,Garage,Land area,Bathroom,Apartment,Section,Covered park,Townhouse
2023-10-11T00:07:55,"2/11 Taranaki Road, Kohimarama, Auckland City",3500000.0,current,"{'Apartment': 'Apartment', 'Bedroom': '3', 'Bathroom': '2', 'Floor area': '263m', 'Title type': 'Unit Title', 'Garage': '3'}",https://www.realestate.co.nz/42438995/residential/sale/2-11-taranaki-road-kohimarama,"https://mediaserver.realestate.co.nz/listings/42438995/c159e9c8a35b1af51f6fdf826de4c7c6.crop.10x8.jpg?options=compress,blur",,263m,3,Unit Title,3,,2,Apartment,,,
2021-06-01,"32 Tiverton Road, Avondale, Auckland City",1250000.0,cv,"{'House': 'House', 'Bedroom': '3', 'Bathroom': '2', 'Land area': '502m', 'Title type': 'Freehold'}",https://www.realestate.co.nz/42439791/residential/sale/32-tiverton-road-avondale,"https://mediaserver.realestate.co.nz/listings/42439791/f10ac64899c4e717cef719418def306d.crop.10x8.jpg?options=compress,blur",House,,3,Freehold,,502m,2,,,,
2023-10-11T17:57:15,"32 Tiverton Road, Avondale, Auckland City",1000000.0,current,"{'House': 'House', 'Bedroom': '3', 'Bathroom': '2', 'Land area': '502m', 'Title type': 'Freehold'}",https://www.realestate.co.nz/42439791/residential/sale/32-tiverton-road-avondale,"https://mediaserver.realestate.co.nz/listings/42439791/f10ac64899c4e717cef719418def306d.crop.10x8.jpg?options=compress,blur",House,,3,Freehold,,502m,2,,,,
2003-03-31,"39 Williamson Avenue, Belmont, North Shore City",562500.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Floor area': '260m', 'Land area': '621m', 'Title type': 'Freehold', 'Garage': '1'}",https://www.realestate.co.nz/42438898/residential/sale/39-williamson-avenue-belmont,"https://mediaserver.realestate.co.nz/listings/42438898/ce76b60383d9d1b2439c8fbbaa1c4bc4.crop.10x8.jpg?options=compress,blur",House,260m,4,Freehold,1,621m,2,,,,
2021-06-01,"39 Williamson Avenue, Belmont, North Shore City",3280000.0,cv,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Floor area': '260m', 'Land area': '621m', 'Title type': 'Freehold', 'Garage': '1'}",https://www.realestate.co.nz/42438898/residential/sale/39-williamson-avenue-belmont,"https://mediaserver.realestate.co.nz/listings/42438898/ce76b60383d9d1b2439c8fbbaa1c4bc4.crop.10x8.jpg?options=compress,blur",House,260m,4,Freehold,1,621m,2,,,,
2023-10-10T17:17:07,"39 Williamson Avenue, Belmont, North Shore City",2600000.0,current,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Floor area': '260m', 'Land area': '621m', 'Title type': 'Freehold', 'Garage': '1'}",https://www.realestate.co.nz/42438898/residential/sale/39-williamson-avenue-belmont,"https://mediaserver.realestate.co.nz/listings/42438898/ce76b60383d9d1b2439c8fbbaa1c4bc4.crop.10x8.jpg?options=compress,blur",House,260m,4,Freehold,1,621m,2,,,,
2012-03-29,"160 Ennis Avenue, Pakuranga, Manukau City",468000.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Floor area': '130m', 'Land area': '558m', 'Covered park': '1'}",https://www.realestate.co.nz/42431555/residential/sale/160-ennis-avenue-pakuranga,"https://mediaserver.realestate.co.nz/listings/42431555/b86dffeaa0e541950367b00777a7d28f.crop.10x8.jpg?options=compress,blur",House,130m,4,,,558m,2,,,1,
2005-01-31,"160 Ennis Avenue, Pakuranga, Manukau City",310000.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Floor area': '130m', 'Land area': '558m', 'Covered park': '1'}",https://www.realestate.co.nz/42431555/residential/sale/160-ennis-avenue-pakuranga,"https://mediaserver.realestate.co.nz/listings/42431555/b86dffeaa0e541950367b00777a7d28f.crop.10x8.jpg?options=compress,blur",House,130m,4,,,558m,2,,,1,
2003-09-30,"160 Ennis Avenue, Pakuranga, Manukau City",272500.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Floor area': '130m', 'Land area': '558m', 'Covered park': '1'}",https://www.realestate.co.nz/42431555/residential/sale/160-ennis-avenue-pakuranga,"https://mediaserver.realestate.co.nz/listings/42431555/b86dffeaa0e541950367b00777a7d28f.crop.10x8.jpg?options=compress,blur",House,130m,4,,,558m,2,,,1,
2021-06-01,"160 Ennis Avenue, Pakuranga, Manukau City",1350000.0,cv,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Floor area': '130m', 'Land area': '558m', 'Covered park': '1'}",https://www.realestate.co.nz/42431555/residential/sale/160-ennis-avenue-pakuranga,"https://mediaserver.realestate.co.nz/listings/42431555/b86dffeaa0e541950367b00777a7d28f.crop.10x8.jpg?options=compress,blur",House,130m,4,,,558m,2,,,1,
